Quarter,InterestRate
Q2-1992,9.88
Q3-1992,8.88
Q4-1992,7.88
Q1-1993,5.88
Q2-1993,5.88
Q3-1993,5.88
Q4-1993,5.38
Q1-1994,5.13
Q2-1994,5.13
Q3-1994,5.63
Q4-1994,6.13
Q1-1995,6.63
Q2-1995,6.63
Q3-1995,6.63
Q4-1995,6.38
Q1-1996,6.13
Q2-1996,5.69
Q3-1996,5.69
Q4-1996,5.94
Q1-1997,5.94
Q2-1997,6.25
Q3-1997,6.75
Q4-1997,7.25
Q1-1998,7.25
Q2-1998,7.5
Q3-1998,7.5
Q4-1998,7.25
Q1-1999,6
Q2-1999,5.25
Q3-1999,5.25
Q4-1999,5.5
Q1-2000,5.75
Q2-2000,5.75
Q3-2000,5.75
Q4-2000,5.75
Q1-2001,5.75
Q2-2001,5.5
Q3-2001,5
Q4-2001,4.5
Q1-2002,4.5
Q2-2002,4.5
Q3-2002,4.5
Q4-2002,4.5
Q1-2003,3.75
Q2-2003,3.75
Q3-2003,3.5
Q4-2003,3.75
Q1-2004,4
Q2-2004,4.25
Q3-2004,4.75
Q4-2004,4.75
Q1-2005,4.75
Q2-2005,4.75
Q3-2005,4.5
Q4-2005,4.5
Q1-2006,4.5
Q2-2006,4.5
Q3-2006,4.75
Q4-2006,5
Q1-2007,5.25
Q2-2007,5.5
Q3-2007,5.75
Q4-2007,5.5
Q1-2008,5.25
Q2-2008,5
Q3-2008,5
Q4-2008,4.5
Q1-2009,1.5
Q2-2009,1.5
Q3-2009,1.5
Q4-2009,1.5
Q1-2010,1.5
Q2-2010,1.5
Q3-2010,1.5
Q4-2010,1.5
Q1-2011,1.5
Q2-2011,1.5
Q3-2011,1.5
Q4-2011,1.5
Q1-2012,1.5
Q2-2012,1.5
Q3-2012,1.5
Q4-2012,1.5
Q1-2013,1.5
Q2-2013,1.5
Q3-2013,1.5
Q4-2013,1.5
Q1-2014,1.5
Q2-2014,1.5
Q3-2014,1.5
Q4-2014,1.5
Q1-2015,1.5
Q2-2015,1.5
Q3-2015,1.5
Q4-2015,1.5
Q1-2016,1.5
Q2-2016,1.5
Q3-2016,0.25
Q4-2016,0.25
Q1-2017,0.25
Q2-2017,0.25
Q3-2017,0.25
Q4-2017,0.5
Q1-2018,0.5
Q2-2018,0.5
Q3-2018,0.75
Q4-2018,0.75
Q1-2019,0.75
Q2-2019,0.75
Q3-2019,0.75
Q4-2019,0.75
Q1-2020,0.25
Q2-2020,0.25
Q3-2020,0.25
Q4-2020,0.25
Q1-2021,0.25
Q2-2021,0.25
Q3-2021,0.25
Q4-2021,0.25
Q1-2022,0.5
Q2-2022,1
Q3-2022,1.75
Q4-2022,3
Q1-2023,4
Q2-2023,4.5
Q3-2023,5.25
Q4-2023,5.25
