"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"77,000 ",,"60,000 ",,"62,000 ",,"47,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q3,,"70,000 ",,"63,000 ",,"64,000 ",,"49,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q4,,"70,000 ",,"57,000 ",,"59,000 ",,"45,000 ",,"77,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"73,000 ",,"58,000 ",,"60,000 ",,"46,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q2,,"73,000 ",,"60,000 ",,"62,000 ",,"49,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q3,,"73,000 ",,"62,000 ",,"64,000 ",,"48,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q4,,"73,000 ",,"60,000 ",,"63,000 ",,"47,000 ",,"80,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"73,000 ",,"60,000 ",,"62,000 ",,"46,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q2,,"74,000 ",,"63,000 ",,"65,000 ",,"49,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"64,000 ",,"66,000 ",,"49,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q4,,"77,000 ",,"63,000 ",,"66,000 ",,"49,000 ",,"85,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"75,000 ",,"60,000 ",,"62,000 ",,"47,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q2,,"78,000 ",,"62,000 ",,"65,000 ",,"47,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"81,000 ",,"65,000 ",,"68,000 ",,"46,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q4,,"82,000 ",,"64,000 ",,"67,000 ",,"46,000 ",,"88,000 ",,,,,,,,,,,,,,,
